Room,x,y,,,,,,,,
120_stair,122,578,,,nodeA,nodeB,x_A,y_A,x_B,y_B
119a_hallway,215,578,,,120_stair,119a_hallway,,,,
101,838,458,,,119a_hallway,101,,,,
102,735,512,,,101,102,,,,
103,632,628,,,102,103,,,,
105,215,628,,,103,105,,,,
106,173,554,,,109,110,,,,
107,215,506,,,110,111,,,,
109,103,338,,,111,112,,,,
110,215,263,,,112,113,,,,
111,434,186,,,113,113,,,,
112,632,263,,,123,127,,,,
113,735,377,,,127,127,,,,
113,735,377,,,127,127,,,,
118,700,367,,,128,101_119hallway,,,,
123,505,452,,,102_102A,102A,,,,
127,434,263,,,102A,102A,,,,
127,434,263,,,102A,102door_119hallway,,,,
127,434,263,,,102door_119hallway,103_1,,,,
128,436,628,,,103A,103door_119hallway,,,,
128,436,628,,,103door_119hallway,105_128,,,,
101_119hallway,838,554,,,105_128,107_108A,,,,
101_122hallway,838,313,,,107_108A,108_122hallway,,,,
102_102A,735,490,,,108_122hallway,108A,,,,
102A,735,448,,,108A,108A,,,,
102A,735,448,,,108A,108A_108,,,,
102door_119hallway,735,535,,,108A_108,108B,,,,
103_1,632,644,,,108B,108B,,,,
103_1,632,644,,,108B,108door_119hallway,,,,
103A,725,644,,,108door_119hallway,111A,,,,
103door_119hallway,632,602,,,111A,112_2,,,,
105_128,405,628,,,112_2,112A,,,,
107_108A,215,479,,,112A,113_102A,,,,
108_122hallway,427,363,,,113_102A,119a_hallway,,,,
108A,215,432,,,119a_hallway,119a1_hallway,,,,
108A,215,432,,,119a1_hallway,119a1_hallway,,,,
108A_108,228,432,,,119a1_hallway,119b_hallway,,,,
108B,215,384,,,119b_hallway,119B_HALLWAY,,,,
108B,215,384,,,119B_HALLWAY,119b_hallway,,,,
108door_119hallway,427,529,,,119b_hallway,119b1_hallway,,,,
111A,434,69,,,119b1_hallway,119C_HALLWAY,,,,
112_2,632,238,,,119C_HALLWAY,119C_HALLWAY,,,,
112A,726,238,,,119C_HALLWAY,119d_hallway,,,,
113_102A,735,399,,,119d_hallway,119d_hallway,,,,
119a_hallway,215,578,,,119d_hallway,119e_hallway,,,,
119a1_hallway,215,554,,,119e_hallway,119e_hallway,,,,
119a1_hallway,215,554,,,119e_hallway,121_stair,,,,
119b_hallway,456,554,,,121_stair,122a_hallway,,,,
119B_HALLWAY,456,554,,,122a_hallway,122a1_hallway,,,,
119b_hallway,456,554,,,122a1_hallway,122a1_hallway,,,,
119b1_hallway,456,529,,,122a1_hallway,122a1_hallway,,,,
119C_HALLWAY,505,554,,,122a1_hallway,122b_hallway,,,,
119C_HALLWAY,505,554,,,122b_hallway,122b_hallway,,,,
119d_hallway,632,554,,,122b_hallway,122b2_hallway,,,,
119d_hallway,632,554,,,122b2_hallway,122b2_hallway,,,,
119e_hallway,735,554,,,122b2_hallway,122b2a_hallway,,,,
119e_hallway,735,554,,,122b2a_hallway,122b3_hallway,,,,
121_stair,116,313,,,122b3_hallway,122b3_hallway,,,,
122a_hallway,215,338,,,122b3_hallway,122b3_hallway,,,,
122a1_hallway,215,313,,,122b3_hallway,122c_hallway,,,,
122a1_hallway,215,313,,,122c_hallway,122c_hallway,,,,
122a1_hallway,215,313,,,122c_hallway,122d_hallway,,,,
122b_hallway,434,313,,,122d_hallway,122d_hallway,,,,
122b_hallway,434,313,,,122d_hallway,122d1_hallway,,,,
122b2_hallway,462,313,,,122d1_hallway,122d2_hallway,,,,
122b2_hallway,462,313,,,122d2_hallway,122d2_hallway,,,,
122b2a_hallway,462,363,,,122d2_hallway,122e_hallway,,,,
122b3_hallway,505,313,,,122e_hallway,122e_hallway,,,,
122b3_hallway,505,313,,,122e_hallway,125Washroom,,,,
122b3_hallway,505,313,,,125Washroom,126Washroom,,,,
122c_hallway,632,313,,,126Washroom,127_110,,,,
122c_hallway,632,313,,,127_110,127_111,,,,
122d_hallway,700,313,,,127_111,127_111,,,,
122d_hallway,700,313,,,127_111,127_112,,,,
122d1_hallway,730,313,,,127_112,128_1,,,,
122d2_hallway,735,313,,,128_1,128_103,,,,
122d2_hallway,735,313,,,128_103,128_104,,,,
122e_hallway,742,313,,,128_104,128door_119hallway,,,,
122e_hallway,742,313,,,128door_119hallway,199a1_hallway,,,,
125Washroom,742,294,,,199a1_hallway,199e_hallway,,,,
126Washroom,735,595,,,199e_hallway,0,,,,
127_110,404,263,,,0,0,,,,
127_111,434,236,,,0,0,,,,
127_111,434,236,,,0,0,,,,
127_112,468,263,,,0,0,,,,
128_1,456,628,,,0,0,,,,
128_103,469,628,,,0,0,,,,
128_104,436,652,,,0,0,,,,
128door_119hallway,456,593,,,0,0,,,,
199a1_hallway,215,554,,,0,0,,,,
199e_hallway,735,554,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
,,,,,0,0,,,,
