"X coordinate","Y coordinate","Room Number"
"285","559","1371"
"272","667","1301E2"
"282","642","1301"
"290","616","1301E1"
"291","550","1369"
"288","545","1368"
"270","526","1302C"
"288","452","1302E1"
"288","520","1302E2"
"278","490","1302B"
"272","609","1302E2"
"293","571","1302E1"
"279","587","1302"
"272","564","1302A"
"277","676","1354S"
"296","682","1373"
"300","672","1372H7"
"298","616","1372H6"
"299","569","1372H5"
"300","559","1372H4"
"299","549","1372H3"
"299","520","1372H2"
"298","451","1372H1"
"264","216","1345H4"
"266","231","1345H3"
"264","310","1345H2"
"265","336","1345H1"
"242","191","1305"
"266","180","1306A"
"254","184","1352S"
"256","213","1352"
"246","218","1305A"
"271","218","1306E1"
"294","187","1306"
"299","231","1351H2"
"281","231","1351H1"
"300","243","1307JH4"
"299","258","1307JH3"
"299","271","1307JH2"
"299","281","1307JH1"
"252","233","1350"
"276","309","1307C"
"257","309","1304A"
"253","336","1304"
"366","330","1309G"
"361","339","1309H"
"335","350","1309E"
"369","351","1309J"
"323","341","1309D"
"305","343","1309C"
"297","329","1309B"
"282","330","1309A"
"280","342","1309"
"385","334","1359"
"382","223","1360H2"
"381","198","1107"
"384","297","1360H1"
"474","201","1310C"
"447","200","1310B"
"417","201","1310A"
"394","222","1310E3"
"397","292","1310E1"
"485","293","1310E2"
"444","247","1310"
"408","307","1311"
"465","302","1317"
"482","309","1356"
"485","352","1355"
"472","351","1316E2"
"447","351","1316E1"
"460","342","1316"
"432","343","1314"
"401","316","1312E3"
"409","336","1312"
"416","352","1312E2"
"399","350","1312E1"
"471","379","1318"
"442","386","1315"
"400","385","1313"
"382","382","1308C"
"379","375","1308B"
"386","371","1308A"
"337","386","1308"
"325","369","1376"
"309","369","1375"
"249","351","1346"
"234","353","1347"
"204","353","1303C"
"194","338","1303N"
"195","327","1303P"
"189","327","1303M"
"185","338","1303L"
"189","343","1303K"
"149","335","1303B"
"170","352","1303BE2"
"129","352","1303BE1"
"97","335","1303A"
"117","353","1303AE2"
"83","352","1303AE1"
"251","373","1303DE2"
"203","372","1303DE1"
"226","374","1303D"
"280","440","1367"
"280","405","1365"
"284","383","1366"
"173","384","1303E"
"136","384","1303F"
"106","384","1303G"
"121","374","1303GE2"
"96","373","1303GE1"
"83","371","1303H"
"488","362","1374H23"
"472","361","1374H22"
"442","362","1374H21"
"431","361","1374H20"
"401","362","1374H19"
"384","360","1374H18"
"368","361","1374H17"
"334","361","1374H16"
"314","361","1374H15"
"293","362","1374H14"
"279","362","1374H13"
"266","361","1374H12"
"251","362","1374H11"
"234","362","1374H10"
"204","361","1374H9"
"192","361","1374H8"
"171","362","1374H7"
"128","361","1374H6"
"117","360","1374H5"
"96","361","1374H4"
"83","361","1374H3"
"65","361","1374H2"
"38","361","1374H1"
"38","392","1362"
"44","381","1363"
"25","373","1364"
"18","394","1348S"
"59","350","1303E2"
"32","352","1303E1"
"42","335","1303"
